timestamp,datetime,open,high,low,close,volume
1780491600000,2026-06-03 13:00:00,75.05,75.05,74.44,74.59,469.879
1780495200000,2026-06-03 14:00:00,74.52,74.58,73.88,74.42,1142.012
1780498800000,2026-06-03 15:00:00,74.43,74.43,73.27,73.27,2402.963
1780502400000,2026-06-03 16:00:00,73.39,73.39,72.09,72.97,1328.012
1780506000000,2026-06-03 17:00:00,73.01,74.07,72.46,73.17,1120.647
1780509600000,2026-06-03 18:00:00,73.14,73.43,72.52,73.07,931.191
1780513200000,2026-06-03 19:00:00,73.1,73.16,71.76,72.03,1170.488
1780516800000,2026-06-03 20:00:00,72.06,72.42,70.98,71.21,2894.64
1780520400000,2026-06-03 21:00:00,71.21,72.84,71.05,72.8,2741.208
1780524000000,2026-06-03 22:00:00,72.77,73.09,71.96,72.22,1181.828
1780527600000,2026-06-03 23:00:00,72.19,72.23,71.61,71.61,1004.655
1780531200000,2026-06-04 00:00:00,71.64,72.09,70.37,70.64,1301.739
1780534800000,2026-06-04 01:00:00,70.73,70.94,68.51,68.58,2259.12
1780538400000,2026-06-04 02:00:00,68.58,70.45,66.95,70.08,3086.311
1780542000000,2026-06-04 03:00:00,70.07,71.63,70.07,71.49,2768.539
1780545600000,2026-06-04 04:00:00,71.49,71.76,70.82,70.88,3209.458
1780549200000,2026-06-04 05:00:00,70.88,70.89,69.96,70.34,5737.785
1780552800000,2026-06-04 06:00:00,70.35,71.16,70.29,70.37,6693.534
1780556400000,2026-06-04 07:00:00,70.35,70.38,69.19,69.19,5940.006
1780560000000,2026-06-04 08:00:00,69.17,69.44,68.33,69.23,7191.031
1780563600000,2026-06-04 09:00:00,69.22,69.23,67.76,68.83,7054.486
1780567200000,2026-06-04 10:00:00,68.83,68.91,67.59,67.9,8489.574
1780570800000,2026-06-04 11:00:00,67.9,68.67,67.47,68.67,8102.799
1780574400000,2026-06-04 12:00:00,68.64,70.27,68.33,70.11,8215.013
1780578000000,2026-06-04 13:00:00,70.12,70.53,69.06,70.33,6996.88
1780581600000,2026-06-04 14:00:00,70.33,70.61,69.56,69.75,7712.953
1780585200000,2026-06-04 15:00:00,69.76,70.47,69.39,69.66,6866.063
1780588800000,2026-06-04 16:00:00,69.65,69.65,68.98,69.42,6161.464
1780592400000,2026-06-04 17:00:00,69.42,69.72,68.52,69.25,5985.158
1780596000000,2026-06-04 18:00:00,69.27,69.85,68.68,69.53,5965.817
1780599600000,2026-06-04 19:00:00,69.53,69.7,69.06,69.17,3920.865
1780603200000,2026-06-04 20:00:00,69.16,69.17,68.48,68.83,6608.64
1780606800000,2026-06-04 21:00:00,68.83,69.04,67.66,67.83,3450.749
1780610400000,2026-06-04 22:00:00,67.83,68.54,67.61,68.49,3877.894
1780614000000,2026-06-04 23:00:00,68.5,68.92,68.05,68.89,5451.973
1780617600000,2026-06-05 00:00:00,68.89,69.07,68.31,68.33,9140.482
1780621200000,2026-06-05 01:00:00,68.33,68.77,67.65,68.52,12044.914
1780624800000,2026-06-05 02:00:00,68.56,68.59,67.24,67.38,12948.535
1780628400000,2026-06-05 03:00:00,67.38,67.82,66.95,67.07,15657.289
1780632000000,2026-06-05 04:00:00,67.06,67.98,66.62,67.92,10920.882
1780635600000,2026-06-05 05:00:00,67.92,68.03,66.08,66.26,13346.772
1780639200000,2026-06-05 06:00:00,66.25,66.56,63.95,65.08,13032.026
